fact_id,candidate_id,subject_entity,metric_id,metric,value,source_id,source_date,confidence,allowed_wording,prohibited_extension
F-0001,P-001,"Доставка бетона",M01,Compressive_Strength_Index,10,"SRC-P-001-01",2026-09-19,SUPPORTED,"Доставка бетона: Показатель прочности материала на сжатие, важный для несущих конструкций. оценен на 10 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0002,P-001,"Доставка бетона",M02,Freeze_Thaw_Resistance_Score,10,"SRC-P-001-01",2026-09-19,SUPPORTED,"Доставка бетона: Способность материала выдерживать циклы замораживания и оттаивания без разрушения. оценен на 10 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0003,P-001,"Доставка бетона",M03,Water_Absorption_Ratio,10,"SRC-P-001-01",2026-09-19,SUPPORTED,"Доставка бетона: Процентное содержание воды, которое материал способен поглотить. оценен на 10 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0004,P-001,"Доставка бетона",M04,Particle_Size_Uniformity_Index,10,"SRC-P-001-01",2026-09-19,SUPPORTED,"Доставка бетона: Показатель однородности размера частиц для сыпучих материалов. оценен на 10 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0005,P-001,"Доставка бетона",M05,Delivery_Damage_Risk,0,"SRC-P-001-01",2026-09-19,PARTIAL,"Доставка бетона: Вероятность повреждения товара при транспортировке до конечного потребителя. оценен на 0 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0006,P-001,"Доставка бетона",M06,Setting_Time_Consistency_Score,10,"SRC-P-001-01",2026-09-19,SUPPORTED,"Доставка бетона: Стабильность времени схватывания бетона при стандартных условиях. оценен на 10 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0007,P-001,"Доставка бетона",M07,Impurity_Content_Penalty,0,"SRC-P-001-01",2026-09-19,PARTIAL,"Доставка бетона: Штраф за наличие нежелательных примесей в материале, снижающих его качество. оценен на 0 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0008,P-002,"Щебень известняковый и отсев",M01,Compressive_Strength_Index,6,"SRC-P-002-01",2026-09-19,PARTIAL,"Щебень известняковый и отсев: Показатель прочности материала на сжатие, важный для несущих конструкций. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0009,P-002,"Щебень известняковый и отсев",M02,Freeze_Thaw_Resistance_Score,6,"SRC-P-002-01",2026-09-19,PARTIAL,"Щебень известняковый и отсев: Способность материала выдерживать циклы замораживания и оттаивания без разрушения. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0010,P-002,"Щебень известняковый и отсев",M03,Water_Absorption_Ratio,6,"SRC-P-002-01",2026-09-19,PARTIAL,"Щебень известняковый и отсев: Процентное содержание воды, которое материал способен поглотить. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0011,P-002,"Щебень известняковый и отсев",M04,Particle_Size_Uniformity_Index,6,"SRC-P-002-01",2026-09-19,PARTIAL,"Щебень известняковый и отсев: Показатель однородности размера частиц для сыпучих материалов. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0012,P-002,"Щебень известняковый и отсев",M05,Delivery_Damage_Risk,4,"SRC-P-002-01",2026-09-19,PARTIAL,"Щебень известняковый и отсев: Вероятность повреждения товара при транспортировке до конечного потребителя. оценен на 4 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0013,P-002,"Щебень известняковый и отсев",M06,Setting_Time_Consistency_Score,6,"SRC-P-002-01",2026-09-19,PARTIAL,"Щебень известняковый и отсев: Стабильность времени схватывания бетона при стандартных условиях. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0014,P-002,"Щебень известняковый и отсев",M07,Impurity_Content_Penalty,4,"SRC-P-002-01",2026-09-19,PARTIAL,"Щебень известняковый и отсев: Штраф за наличие нежелательных примесей в материале, снижающих его качество. оценен на 4 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0015,P-003,"Щебень гранитный",M01,Compressive_Strength_Index,6,"SRC-P-003-01",2026-09-19,PARTIAL,"Щебень гранитный: Показатель прочности материала на сжатие, важный для несущих конструкций. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
