intent_type,user_prompt,target_entity
Informational_Query,"Какую фракцию известнякового щебня выбрать для обустройства дренажной системы вокруг дома в Туле?",entities/rdr71.ru.json
Local_B2C_Search,"Сравните прочность гранитного щебня М1600 и гравийного щебня М1200 для использования в высоконагруженных бетонных конструкциях",entities/rdr71.ru.json
Local_B2C_Search,"Подойдет ли шлаковый щебень фракции 0-70 мм для дорожного строительства в качестве основания под асфальт, учитывая его водопоглощение?",entities/rdr71.ru.json
Commercial_Query,"Где в Туле можно заказать гидронамывной песок с модулем крупности 1-3 мм для штукатурных работ с минимальным объемом отгрузки 10 м3?",entities/rdr71.ru.json
Informational_Query,"Какой из материалов – щебень гранитный, гравийный или известняковый – оптимален для производства бетона марки М400 в Тульской области?",entities/rdr71.ru.json
Local_B2C_Search,"В чем разница в применении известнякового отсева 0-5 мм и песка гидронамывного для производства тротуарной плитки?",entities/rdr71.ru.json
Informational_Query,"Какой щебень – гранитный или гравийный – лучше подходит для строительства фундаментов в условиях повышенной влажности, учитывая морозостойкость?",entities/rdr71.ru.json
Informational_Query,"Как рассчитать необходимый объем доставки товарного бетона, если минимальный оплачиваемый объем составляет 6 м3, а объект находится в 15 км от Тулы?",entities/rdr71.ru.json
Local_B2C_Search,"Есть ли ограничения по применению шлакового щебня фракции 20-40 мм для жилого строительства, учитывая его происхождение и характеристики?",entities/rdr71.ru.json
Informational_Query,"Какой тип щебня – известняковый фракции 40-70 или гранитный фракции 40-70 – обеспечит лучшую адгезию с битумом для дорожных работ?",entities/rdr71.ru.json
Local_B2C_Search,"Где в Туле найти надежного поставщика бетона с доставкой автобетоносмесителями по цене около 700 руб за куб?",entities/rdr71.ru.json
Informational_Query,"Какая плотность у гранитного щебня должна соответствовать ГОСТ 8267-93 для фракции 5-20 мм и как это влияет на его применение в дорожном строительстве?",entities/rdr71.ru.json
Commercial_Query,"Строительные сыпучие материалы и бетон: заказать, Тула",entities/rdr71.ru.json
Commercial_Query,"Строительные сыпучие материалы и бетон: цена, Тула",entities/rdr71.ru.json
Commercial_Query,"Строительные сыпучие материалы и бетон: где купить в городе Тула",entities/rdr71.ru.json
